$ in millions,2020,2020,2020
$ in millions,Standardized,,Advanced
Credit risk RWA,,,
"Balance at December 31, 2019",$,"342,684$","228,927"
Change related to the following items:,,,
Derivatives,,"17,003","35,426"
Securities financing transactions,,(486),"1,921"
Securitizations,,"(1,683)","(3,261)"
Investment securities,,"10,950","8,587"
"Commitments,guarantees and",,,
loans,,"9,892","3,745"
Cash,,"2,416","2,678"
Equity investments,,"3,796","4,004"
Other credit risk1,,"2,494","2,903"
Total change in credit risk RWA,$,"44,382 $","56,003"
"Balance atDecember31,2020",$,"387,066 $","284,930"
Marketrisk RWA,,,
"Balance at December 31,2019",$,"51,493 $","51,597"
Change related to the following items:,,,
Regulatory VaR,,"8,578","8,578"
Regulatory stressed VaR,,975,975
Incremental risk charge,,"1,968","1,968"
Comprehensive risk measure,,145,41
Specific risk:,,,
Non-securitizations,,"2,938","2,938"
Securitizations,,（57),（57)
Total change in market risk RWA,$,"14,547$","14,443"
"Balance at December 31,2020",$,"66,040 $","66,040"
Operational risk RWA,,,
"Balance at December 31,2019",,N/A $,"101,972"
Change in operational risk RWA,,N/A,"(7,791)"
"Balance atDecember 31,2020",,N/A $,"94,181"
TotalRWA,$,"453,106$","445,151"
