Yr-to-Yr.,For year ended December 31:,2020,2019
Net income as reported,"$5,590 *","$ 9,431",(40.7)%
,,,
"Income/(loss) from discontinued operations, net of tax**",89,(4),NM
Income from continuing operations,"$5,501 *","$ 9,435",(41.7)%
Non-operating adjustments (net of tax),,,
Acquisition-related charges,"1,454","1,343",8.3
Non-operating retirement-related costs/(income),908,512,77.2
U.S. tax reform impacts,(110),146,NM
Spin-off-related charges,21,,NM
Operating (non-GAAP) earnings,"$7,774 *","$ 11,436",(32.0)%
Diluted operating (non-GAAP) earnings per share,$ 8.67 *,$ 12.81,(32.3)%
