Net cash flows from operating activities from continuing operations before working capital and provision changes,15 949,16 378,14 272
tsv,,,
USD millions,Note,2021,"2020,2019"
Net income from continuing operations,24 018,8 071,7 147
Adjustments to reconcile net income from continuing operations to net cash flows from operating activities from continuing operations,,,
Reversal of non-cash items and other adjustments,23.1,- 5 299,"9 881,9 122"
Dividends received from associated companies and others,525,490,463
Interest received,13,47,214
Interest paid,- 664,- 703,- 793
Other financial receipts,464,28,
Other financial payments,- 302,- 39,- 33
Income taxes paid,23.2,- 2 342,"- 1 833,- 1 876"
Payments out of provisions and other net cash movements in non-current liabilities,- 1 119,- 2 437,- 924
Change in net current assets and other operating cash flow items,23.3,241,"- 291,199"
Payments out of provisions and other net cash movements in non-current liabilities,-1 119,-2 437,-924
Change in net current assets and other operating cash flow items,23.3,241,"-291,199"
Net cash flows from operating activities from continuing operations,15 071,13 650,13 547
Net cash flows from operating activities from discontinued operations,78,,
Net cash flows from operating activities,15 071,13 650,13 625
"Purchases of property, plant and equipment",-1 378,-1 275,-1 379
"Proceeds from sale of property, plant and equipment",240,88,857
Purchases of intangible assets,-1 593,-1 310,-878
Proceeds from sale of intangible assets,748,380,973
Purchases of financial assets,-191,-230,-302
Proceeds from sale of financial assets,442,723,1 152
Purchases of other non-current assets,-61,-61,-60
Proceeds from sale of other non-current assets,4,2,3
"Divestments and acquisitions of interests in associated companies, net",23.4,20 669,"-7,-6"
Purchases of other non-current assets    -61    -61    -60,,,
Proceeds from sale of other non-current assets    4    2    3,,,
Divestments and acquisitions of interests in associated companies,net    23.4    20 669    -7    -6,,
Acquisitions and divestments of businesses,net    23.5    -567    -9 957    -3 760,,
Purchases of marketable securities,commodities and time deposits    -16 403    -1 900    -228,,
Proceeds from sale of marketable securities,commodities and time deposits    2 298    492    2 561,,
Net cash flows from/used in investing activities from continuing operations    4 208    -13 055    -1 067,,,
Net cash flows used in investing activities from discontinued operations    30    -127    -1 159,,,
Net cash flows from/used in investing activities    4 208    -13 182    -2 226,,,
Dividends paid to shareholders of Novartis AG    -7 368    -6 987    -6 645,,,
Acquisitions of treasury shares    -3 057    -2 842    -5 533,,,
Proceeds from exercised options and other treasury share transactions,net    53    748    201,,
Increase in non-current financial debts    23.6    16    7 126    93,,,
Repayments of non-current financial debts    23.6    -2 162    -2 003    -3 195,,,
Change in current financial debts    23.6    -3 524    2 261    -1 582,,,
Payments of lease liabilities,net    23.6    -316    -312    -273,,
Repayments of non-current financial debts\t-2 162\t-2 003\t-3 195,,,
Change in current financial debts\t23.6\t-3 524\t2 261\t-1 582,,,
Payments of lease liabilities,net\t23.6\t-316\t-312\t-273,,
Impact of change in ownership of consolidated entities\t-3\t-2\t-6,,,
Other financing cash flows,net\t97\t-147\t56,,
Net cash flows used in financing activities from continuing operations\t-16 264\t-2 158\t-16 884,,,
Net cash flows used in/from financing activities from discontinued operations\t30\t-50\t3 257,,,
Net cash flows used in financing activities\t-16 264\t-2 208\t-13 627,,,
Net change in cash and cash equivalents before effect of exchange rate changes\t3 015\t-1 740\t-2 228,,,
Effect of exchange rate changes on cash and cash equivalents\t-266\t286\t69,,,
Net change in cash and cash equivalents\t2 749\t-1 454\t-2 159,,,
Cash and cash equivalents at January 1\t9 658\t11 112\t13 271,,,
Cash and cash equivalents at December 31\t12 407\t9 658\t11 112,,,
