Polyester from more sustainable sources (in tonnes)\t\t26,728\t\t9,594\t\t5,332\t\t1,881
2021,2020,2019,2018,
Indicators for sustainable management of our products,,,,
Articles placed on the market (in tonnes),"565,027","450,146","545,036,528,797",
Join Life articles placed on the market (% of the total),47%,38%,"19%,9%",
"Cotton from more sustainable sources: organic, BC and recycled (in tonnes)","166,195","73,874","38,676,18,851",
Polyester from more sustainable sources (in tonnes),"26,728","9,594","5,332,1,881",
Linen from more sustainable sources (in tonnes),"4,201","1,245","1,813,266",
Linen from more sustainable sources (in tonnes)\t\t4,201\t\t1,245\t\t1,813\t\t266,
Viscose and other man-made cellulosic fibres from more sustainable sources (in tonnes)\t\t29,053\t\t8,379\t\t6,692\t\t3,178
Garments collected through the Closing the Loop Programme (in tonnes)\t\t16,072\t\t13,043\t\t15,321\t\t14,825
Materials recovered for its reuse (in tonnes)\t\t19,048\t\t16,871\t\t21,298\t\t19,247
Degree of compliance with CtW and StW standards\t\t98.5%\t\t98.3%\t\t97.4%\t\t97.4%,,,,
Picking programme: Inspections\t\t49,999\t\t42,856\t\t56,352\t\t63,420
Picking programme: Garment analyses\t\t792,582\t\t744,404\t\t899,046\t\t933,980
Picking programme: Inspections,"49,999","42,856","56,352","63,420"
Picking programme: Garment analyses,"792,582","744,404","899,046","933,980"
Indicators for sustainable supply chain management and Workers at the Centre,,,,
Product suppliers with purchases in the year,"1,790","1,805","1,985","1,866"
Factories declared by suppliers,"8,756","8,543","8,155","7,235"
Rejected suppliers,25,44,56,50
Audits of suppliers and manufacturers,"17,477","11,997","12,215","12,064"
Progress in the Workers at the Centre strategic plan,85%,78%,NA,NA
Progress in the Workers at the Centre strategic plan\t85%\t78%\tNA\tNA,,,,
