Instagram,ZARA,51,588,720
Facebook,ZARA,30,502,473
SoundCloud,ZARA,23,259,336
Discord,ZARA,3,086,745
Pinterest,ZARA,1,531,102
Twitter,ZARA,1,436,114
TikTok,ZARA,1,075,821
Others,ZARA,3,722,575
Total,ZARA,116,202,886
ZARA HOME,ZARA HOME,7,200,000
Facebook,ZARA HOME,2,975,973
SoundCloud,ZARA HOME,2,320,000
Discord,ZARA HOME,121,565,
Pinterest,ZARA HOME,243,700,
Twitter,ZARA HOME,86,600,
TikTok,ZARA HOME,192,066,
Others,ZARA HOME,13,139,904
Total,ZARA HOME,23,037,181
Mango,ZARA HOME,3,117,753
Facebook,ZARA HOME,4,373,286
SoundCloud,ZARA HOME,4,500,500
Discord,ZARA HOME,357,147,
Pinterest,ZARA HOME,18,300,
Twitter,ZARA HOME,80,831,
TikTok,ZARA HOME,83,200,
Others,ZARA HOME,399,696,
Total,ZARA HOME,12,930,713
Bershka,ZARA HOME,10,200,000
Facebook,ZARA HOME,11,900,000
SoundCloud,ZARA HOME,7,870,000
Discord,ZARA HOME,334,000,
Pinterest,ZARA HOME,403,000,
Twitter,ZARA HOME,447,000,
TikTok,ZARA HOME,209,000,
Others,ZARA HOME,663,700,
Total,ZARA HOME,32,026,700
Stradivarius,ZARA HOME,7,500,000
Facebook,ZARA HOME,6,100,000
SoundCloud,ZARA HOME,4,200,000
Discord,ZARA HOME,106,000,
Pinterest,ZARA HOME,119,000,
Twitter,ZARA HOME,243,000,
TikTok,ZARA HOME,129,000,
Others,ZARA HOME,226,000,
Total,ZARA HOME,18,623,000
Oysho,ZARA HOME,2,789,689
Facebook,ZARA HOME,3,428,362
SoundCloud,ZARA HOME,3,785,111
Discord,ZARA HOME,160,760,
Pinterest,ZARA HOME,58,400,
Twitter,ZARA HOME,112,689,
TikTok,ZARA HOME,355,747,
Others,ZARA HOME,10,690,758
Total,ZARA HOME,10,690,758
Uterque,ZARA HOME,940,568,
Facebook,ZARA HOME,369,802,
SoundCloud,ZARA HOME,32,014,
Discord,ZARA HOME,5,434,
Pinterest,ZARA HOME,18,677,
Twitter,ZARA HOME,9,387,
TikTok,ZARA HOME,62,007,
Others,ZARA HOME,1,437,889
Total,ZARA HOME,1,437,889
Total,ZARA HOME,228,089,031
