Stradivarius,"1,824","1,283","1,750","1,534"
tsv,,,,
2021,2020,2019,2018,
Turnover (millions of euros),,,,
Net sales,"27,716","20,402","28,286","26,145"
Online sales (2),25.5%,32%,14%,12%
Sales by concept (millions of euros),,,,
Zara (Zara + Zara Home) (3),"19,586","14,129","19,564","18,021"
Pull&Bear,"1,876","1,425","1,970","1,862"
Massimo Dutti (Massimo Dutti + Uterqüe) (4),"1,653","1,271","2,015","1,903"
Bershka,"2,177","1,772","2,384","2,240"
Oysho,600,522,604,585
Sales by geographic area (percentage),,,,
Spain,14.4%,14.6%,15.7%,16.2%
Europe ex-Spain,48.4%,48.7%,46.0%,45.1%
Americas,17.5%,13.5%,15.8%,15.5%
Asia and rest of the world,19.7%,23.2%,22.5%,23.2%
Total,100%,100%,100%,100%
Financial structure (millions of euros),,,,
Equity attributable to the parent company,"15,733","14,520","14,913","14,653"
Net financial position,"9,359","7,560","8,060","6,705"
Profits and cash flow (millions of euros),,,,
EBITDA,"7,183","4,552","7,598","5,457"
EBIT,"4,282","1,507","4,772","4,357"
Net profit,"3,250","1,104","3,647","3,448"
Net profit attributable to the parent company,"3,243","1,106","3,639","3,444"
Cash flow,"6,531","3,864","6,695","4,378"
ROE (Return On Equity),21%,8%,25%,24%
ROCE (Return On Capital Employed),28%,10%,32%,31%
