CRR 5    1.928 to 4.914    46,423    16,423    -    -    62,846    (190)    (218)    -    -    (408)    0.6    BB- to B
tsv,,,
Basel one-year PD range%,Gross carrying amount,Allowance for ECL,"ECL coverage%,Mapped external rating"
Stage 1,Stage 2,Stage 3,"POCI,Total,Stage 1,Stage 2,Stage 3,POCI,Total"
Corporate and commercial,,,
"387,563","126,287","12,961","277,527,088,(1,101),(2,444),(5,837),(112),(9,494),1.8"
CRR 1,0.000 to 0.053,"36,047","486,–,–,36,533,(8),(5),–,–,–,AA- and above"
CRR 2,0.054 to 0.169,"81,298","3,140,–,–,84,438,(42),(36),–,–,0.1,A+ to A-"
CRR 3,0.170 to 0.740,"131,540","27,061,–,–,158,601,(262),(197),–,–,0.3,BBB+ to BBB-"
CRR 4,0.741 to 1.927,"91,385","35,376,–,–,126,761,(390),(375),–,–,0.6,BB+ to BB-"
CRR 5,1.928 to 4.914,"42,214","34,585,–,–,76,799,(330),(686),–,–,1.3,BB- to B"
CRR 6,4.915 to 8.860,"3,523","14,560,–,–,18,083,(35),(476),–,–,2.8,B-"
CRR 7,8.861 to 15.000,"1,111","7,241,–,–,8,352,(21),(322),–,–,4.1,CCC+"
CRR 8,15.001 to 99.999,445,"3,838,–,–,4,283,(13),(347),–,–,8.4,CCC to C"
CRR 9/10,100.000,–,"12,961,277,13,238,–,–,(5,837),(112),(5,949),44.9,D"
Non-bank financial institutions,,,
"52,223","11,834",523,"–,64,580,(46),(119),(100),–,(265),0.4"
CRR 1,0.000 to 0.053,"12,234","28,–,–,12,262,(3),–,–,–,AA- and above"
CRR 2,0.054 to 0.169,"15,128","49,–,–,15,177,(5),(1),–,–,0,A+ to A-"
CRR 3,0.170 to 0.740,"16,741","4,086,–,–,20,827,(12),(9),–,–,0.1,BBB+ to BBB-"
CRR 4,0.741 to 1.927,"4,931","3,917,–,–,8,848,(15),(27),–,–,0.5,BB+ to BB-"
CRR 5,1.928 to 4.914,"2,859","2,797,–,–,5,656,(10),(34),–,–,0.8,BB- to B"
