Kathleen Casey (retired on 24 April 2020),15000,15125,
Laura Cha,15000,16200,
Henri de Castries,15000,19251,
James Forese (appointed to the Board on 1 May 2020),15000,115000,
Steven Guggenheim (appointed to the Board on 1 May 2020),15000,15000,
Irene Lee,15000,11904,
José Antonio Meade Kuribreña,15000,15000,
Heidi Miller,15000,15700,
Eileen Murray (appointed to the Board on 1 July 2020),15000,75000,
David Nish,15000,50000,
Sir Jonathan Symonds (retired on 18 February 2020),15000,43821,
Jackson Tai,15000,66515,
Mark Tucker,15000,307352,
Pauline van der Meer Mohr,15000,15000,
