Particulars,Particulars,Particulars,Particulars,Particulars,Particulars
Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation
Present value of obligation as at April 1,Present value of obligation as at April 1,Present value of obligation as at April 1,Present value of obligation as at April 1,Present value of obligation as at April 1,Present value of obligation as at April 1
Interest cost,Interest cost,Interest cost,Interest cost,Interest cost,Interest cost
Current service cost,Current service cost,Current service cost,Current service cost,Current service cost,Current service cost
Benefits paid,Benefits paid,Benefits paid,Benefits paid,Benefits paid,Benefits paid
Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:
Experience adjustment,Experience adjustment,Experience adjustment,Experience adjustment,Experience adjustment,Experience adjustment
Assumption change,Assumption change,Assumption change,Assumption change,Assumption change,Assumption change
Present value of obligation as at March 31,Present value of obligation as at March 31,Present value of obligation as at March 31,Present value of obligation as at March 31,Present value of obligation as at March 31,Present value of obligation as at March 31
Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets
Fair value of plan assets as at April 1,Fair value of plan assets as at April 1,Fair value of plan assets as at April 1,Fair value of plan assets as at April 1,Fair value of plan assets as at April 1,Fair value of plan assets as at April 1
Expected return on plan assets,Expected return on plan assets,Expected return on plan assets,Expected return on plan assets,Expected return on plan assets,Expected return on plan assets
Contributions,Contributions,Contributions,Contributions,Contributions,Contributions
Benefits paid,Benefits paid,Benefits paid,Benefits paid,Benefits paid,Benefits paid
"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021"
725.87,617.95,725.87,617.95,725.87,617.95
45.94,39.22,45.94,39.22,45.94,39.22
100.50,88.12,100.50,88.12,100.50,88.12
-38.21,-47.46,-38.21,-47.46,-38.21,-47.46
26.48,-8.46,26.48,-8.46,26.48,-8.46
-3.00,36.50,-3.00,36.50,-3.00,36.50
857.58,725.87,857.58,725.87,857.58,725.87
514.93,501.71,514.93,501.71,514.93,501.71
40.89,35.58,40.89,35.58,40.89,35.58
104.45,89.51,104.45,89.51,104.45,89.51
-38.21,-47.46,-38.21,-47.46,-38.21,-47.46
