Currentregulation,"Banksare a highly regulated entityin the country and mandates as part of current regulations are alwaysintegrated into the overallrisk planning and assessment process.Current regulation is also factored in as partof the credit assessment process,especially through the SEMS (Socialand Environment Management System)framework as part of which large loansare screened for environmental and social risks which also incorporatesrisk from violating environmental laws.",
Emergingregulation,"Transition risk can impact the Bank's credit portfolio resulting fromchanges in theclimate policy,technology,consumer and market sentiment during the adjustment to a lower carbon economy.This is particularly relevantin the case of policy changes that can result in loan defaults from certain sectors like coal,thermal andinfrastructure.The Bank is exploring techniques for developing climate risk assessment and scenario analysis toanalyse our portfolio at risk due to transition risk of climate change.",
Technology,"While our digital environment and information security practices form the basis ofour business today,being in thefinancialservices sector, we do not anticipatetechnologyasarisk type to cause considerable impact in climaterisk.However,ourdigitalbanking products (low carbon)have leveraged technologyasadrivertoenable business.",
Legal,"Incase of large loans,the Bank ensures that the project complies with allenvironmentallaws of the land,failureofwhich could lead the loanconverting intoanon-performing asset in casethe project enters intolitigation for thesame.This however does not pose a claim for the Bank.There are no other instances in which the Bank can bedirectly held responsible for climate related litigation claim.",
Market,"In the context of overalrsk management, market rissare managed through a well-defined Board approvedMarket Risk Policy,Ivestment Policy,Foreign Exchange Trading Policyand Derivatives Policy thatcaps risk indiferent trading desks or various securities through trading risk limits/triggers.Inthe context of climate change,market could play an important role in shifting the demand and supply for certain products like green loans orbonds or in low carbon digital products.",
,"Reputation risk from community/customer perception is a primary risk to our business and hence we invest incommunityand customer engagement through surveys to educate and inform themabout the Bank's initiativestowards Environmental Sustainability.Further, the global investor community especially sovereign wealth fundsand pension funds is increasingly factoring in ESG performance metrics to assess long-term profitable growth.Weconstantly endeavor toadopt environmentfriendlyinitiatives within our operations to demonstrate corporateresponsibility.We also demonstrate our commitment to ESG,especially climate change by incorporating ESGaspects in its regulatory reporting like the Annual Report. Besides We also publish our GHG emissons and GHGfootprint (third-party verified) in our sustainability reportsandour Integrated annual report going forward.We also have a board governed ESG policy framework that integrates climate change strategy as partof our guidelines.",
,"Reputation risk from community/customer perception is a primary risk to our business and hence we invest incommunityand customer engagement through surveys to educate and inform themabout the Bank's initiativestowards Environmental Sustainability.Further, the global investor community especially sovereign wealth fundsand pension funds is increasingly factoring in ESG performance metrics to assess long-term profitable growth.Weconstantly endeavor toadopt environmentfriendlyinitiatives within our operations to demonstrate corporateresponsibility.We also demonstrate our commitment to ESG,especially climate change by incorporating ESGaspects in its regulatory reporting like the Annual Report. Besides We also publish our GHG emissons and GHGfootprint (third-party verified) in our sustainability reportsandour Integrated annual report going forward.We also have a board governed ESG policy framework that integrates climate change strategy as partof our guidelines.",
Reputation,"Reputation risk from community/customer perception is a primary risk to our business and hence we invest incommunityand customer engagement through surveys to educate and inform themabout the Bank's initiativestowards Environmental Sustainability.Further, the global investor community especially sovereign wealth fundsand pension funds is increasingly factoring in ESG performance metrics to assess long-term profitable growth.Weconstantly endeavor toadopt environmentfriendlyinitiatives within our operations to demonstrate corporateresponsibility.We also demonstrate our commitment to ESG,especially climate change by incorporating ESGaspects in its regulatory reporting like the Annual Report. Besides We also publish our GHG emissons and GHGfootprint (third-party verified) in our sustainability reportsandour Integrated annual report going forward.We also have a board governed ESG policy framework that integrates climate change strategy as partof our guidelines.",
,"Reputation risk from community/customer perception is a primary risk to our business and hence we invest incommunityand customer engagement through surveys to educate and inform themabout the Bank's initiativestowards Environmental Sustainability.Further, the global investor community especially sovereign wealth fundsand pension funds is increasingly factoring in ESG performance metrics to assess long-term profitable growth.Weconstantly endeavor toadopt environmentfriendlyinitiatives within our operations to demonstrate corporateresponsibility.We also demonstrate our commitment to ESG,especially climate change by incorporating ESGaspects in its regulatory reporting like the Annual Report. Besides We also publish our GHG emissons and GHGfootprint (third-party verified) in our sustainability reportsandour Integrated annual report going forward.We also have a board governed ESG policy framework that integrates climate change strategy as partof our guidelines.",
,"Reputation risk from community/customer perception is a primary risk to our business and hence we invest incommunityand customer engagement through surveys to educate and inform themabout the Bank's initiativestowards Environmental Sustainability.Further, the global investor community especially sovereign wealth fundsand pension funds is increasingly factoring in ESG performance metrics to assess long-term profitable growth.Weconstantly endeavor toadopt environmentfriendlyinitiatives within our operations to demonstrate corporateresponsibility.We also demonstrate our commitment to ESG,especially climate change by incorporating ESGaspects in its regulatory reporting like the Annual Report. Besides We also publish our GHG emissons and GHGfootprint (third-party verified) in our sustainability reportsandour Integrated annual report going forward.We also have a board governed ESG policy framework that integrates climate change strategy as partof our guidelines.",
