Particulars,Particulars,Particulars,Particulars,Particulars,Particulars
Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation,Reconciliation of opening and closing balance of the present value of the defined benefit obligation
Present value of obligation as at April 1,Present value of obligation as at April 1,Present value of obligation as at April 1,Present value of obligation as at April 1,Present value of obligation as at April 1,Present value of obligation as at April 1
Interest cost,Interest cost,Interest cost,Interest cost,Interest cost,Interest cost
Current service cost,Current service cost,Current service cost,Current service cost,Current service cost,Current service cost
Benefits paid,Benefits paid,Benefits paid,Benefits paid,Benefits paid,Benefits paid
Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:,Actuarial (gain) / loss on obligation:
Experience adjustment,Experience adjustment,Experience adjustment,Experience adjustment,Experience adjustment,Experience adjustment
Assumption change,Assumption change,Assumption change,Assumption change,Assumption change,Assumption change
Present value of obligation as at March 31,Present value of obligation as at March 31,Present value of obligation as at March 31,Present value of obligation as at March 31,Present value of obligation as at March 31,Present value of obligation as at March 31
Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets,Reconciliation of opening and closing balance of the fair value of the plan assets
Fair value of plan assets as at April 1,Fair value of plan assets as at April 1,Fair value of plan assets as at April 1,Fair value of plan assets as at April 1,Fair value of plan assets as at April 1,Fair value of plan assets as at April 1
Expected return on plan assets,Expected return on plan assets,Expected return on plan assets,Expected return on plan assets,Expected return on plan assets,Expected return on plan assets
Contributions,Contributions,Contributions,Contributions,Contributions,Contributions
Benefits paid,Benefits paid,Benefits paid,Benefits paid,Benefits paid,Benefits paid
Actuarial gain / (loss) on plan assets:,Actuarial gain / (loss) on plan assets:,Actuarial gain / (loss) on plan assets:,Actuarial gain / (loss) on plan assets:,Actuarial gain / (loss) on plan assets:,Actuarial gain / (loss) on plan assets:
Experience adjustment,Experience adjustment,Experience adjustment,Experience adjustment,Experience adjustment,Experience adjustment
Assumption change,Assumption change,Assumption change,Assumption change,Assumption change,Assumption change
Fair value of plan assets as at March 31,Fair value of plan assets as at March 31,Fair value of plan assets as at March 31,Fair value of plan assets as at March 31,Fair value of plan assets as at March 31,Fair value of plan assets as at March 31
"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021"
851.66,702.86,851.66,702.86,851.66,702.86
52.16,45.10,52.16,45.10,52.16,45.10
114.56,102.92,114.56,102.92,114.56,102.92
-49.15,-58.81,-49.15,-58.81,-49.15,-58.81
41.30,16.69,41.30,16.69,41.30,16.69
6.69,42.90,6.69,42.90,6.69,42.90
1017.22,851.66,1017.22,851.66,1017.22,851.66
577.97,547.75,577.97,547.75,577.97,547.75
44.05,38.78,44.05,38.78,44.05,38.78
138.48,109.67,138.48,109.67,138.48,109.67
-49.15,-58.81,-49.15,-58.81,-49.15,-58.81
107.65,-59.42,107.65,-59.42,107.65,-59.42
15.44,-,15.44,-,15.44,-
834.44,577.97,834.44,577.97,834.44,577.97
