Particulars,Particulars,Particulars,Particulars,Particulars,Particulars
Provision for income tax - Current,Provision for income tax - Current,Provision for income tax - Current,Provision for income tax - Current,Provision for income tax - Current,Provision for income tax - Current
Deferred,Deferred,Deferred,Deferred,Deferred,Deferred
Provision for NPAs1,Provision for NPAs1,Provision for NPAs1,Provision for NPAs1,Provision for NPAs1,Provision for NPAs1
Provision for diminution in value of non-performing investments,Provision for diminution in value of non-performing investments,Provision for diminution in value of non-performing investments,Provision for diminution in value of non-performing investments,Provision for diminution in value of non-performing investments,Provision for diminution in value of non-performing investments
Provision for standard assets,Provision for standard assets,Provision for standard assets,Provision for standard assets,Provision for standard assets,Provision for standard assets
Other provisions and contingencies2,Other provisions and contingencies2,Other provisions and contingencies2,Other provisions and contingencies2,Other provisions and contingencies2,Other provisions and contingencies2
Total,Total,Total,Total,Total,Total
"12,336.79","10,422.14","13,574.54","10,635.01",-17.32,7.50
"-1,397.41",476.45,875.22,800.58,"4,407.85","2,256.84"
"29,779.67","24,598.52",,,,","
