Particulars,Particulars,Particulars,Particulars,Particulars,Particulars
Total Assets,Total Assets,Total Assets,Total Assets,Total Assets,Total Assets
March 31,2021,Total Assets,Total Assets,Total Assets,"Total Assets,Total Assets"
43,586.89,43,586.89,43,"586.89,43,586.89,43,586.89,43,586.89"
March 31,2020,Total Assets,Total Assets,Total Assets,"Total Assets,Total Assets"
43,257.00,43,257.00,43,"257.00,43,257.00,43,257.00,43,257.00"
Total NPAs,Total NPAs,Total NPAs,Total NPAs,Total NPAs,Total NPAs
March 31,2021,Total NPAs,Total NPAs,Total NPAs,"Total NPAs,Total NPAs"
188.35,188.35,188.35,188.35,188.35,188.35
March 31,2020,Total NPAs,Total NPAs,Total NPAs,"Total NPAs,Total NPAs"
194.93,194.93,194.93,194.93,194.93,194.93
Total Revenue,Total Revenue,Total Revenue,Total Revenue,Total Revenue,Total Revenue
March 31,2021,Total Revenue,Total Revenue,Total Revenue,"Total Revenue,Total Revenue"
931.97,931.97,931.97,931.97,931.97,931.97
March 31,2020,Total Revenue,Total Revenue,Total Revenue,"Total Revenue,Total Revenue"
1,170.47,1,170.47,1,"170.47,1,170.47,1,170.47,1,170.47"
