Brief Terms of Reference / Roles and,"a. statement is correct, sufficient and credible;",Overseing the Bank's financial reporting processand disclosure offinancial information toensure that the financial
Responsibilities:,,Recommending appointment and removal of external auditors and fixing of their fees;
Responsibilities:,b. C.,Reviewing with managementtheannualfinancial statements and auditor's report beforesubmission tothe Board with
Responsibilities:,,"special emphasis on accounting policies and practices,compliance with accounting standards,disclosure of related party transactions and other legal requirements relating to financial statements;"
Responsibilities:,,"d.Reviewing the adequacy ofthe Audit and Compliance functions,including their policies,procedures,techniques and other regulatory requirements;and"
Responsibilities:,,"e.Any other terms_of reference as may be included from time to timein the Companies Act, 2013,SEBl Listing Regulations,2015,including any amendments/re-enactments thereof from time to time."
Composition:,,"The Charterof the Audit Commitee has been formulated inaccordance with certain United States regulatory standards as the Bank's American Depository Receipts are also listed on the New York Stock Exchange. Mr. M.D. Ranganath (Chairman), Mr. Umesh Chandra Sarangi and Mr.Sanjiv Sachar,allof whom are independent directors.Mr. M.D.Ranganath and Mr.Sanjiv Sachar are the members of Audit Commitee having financial expertise."
Meetings:,tenure as director of the Bank.,"During the year,Mrs.Shyamala Gopinath ceased to be amemberof the Commitee pursuantto the cessation of her Mr.Santosh Haldankar, Company Secretary of the Bank,actsas the Secretary of the Committee."
,,"The Commitee metfifteen(15)timesduringtheyearonApril7,2020,April13,2020,April17,202,April18,2020, June 19,2020,July17,2020,July22,2020,July30,2020,August21,2020,October9,2020,October16,2020, December4,2020, January15,2021,February 3,2021,and March 3,2021."
Nomination & Remuneration Committee Brief Terms,Nomination & Remuneration Committee Brief Terms,Nomination & Remuneration Committee Brief Terms
of Reference /Roles and Responsibilities:,,"Scrutinizing thenominations of the directors with reference to their qualificationsand experience,for identifying ‘Fit and Proper’ persons,assessing competency of the persons and reviewing compensation levels of the Bank's"
of Reference /Roles and Responsibilities:,,"employees vis-a-vis other banks and the banking industry in general. The NRC has formulated a Policy for Appointment and Fitand Proper Criteriaof Directors,which inter-aliaprovides"
of Reference /Roles and Responsibilities:,"·academic qualifications, ·previous experience,","for criteria to assess the competency of the persons nominated, which includes:"
of Reference /Roles and Responsibilities:,,"·track record,and ·integrity of the candidates. Forassesing the integrityandsuitability,features ike criminal records,financial position,civil actions undertaken"
of Reference /Roles and Responsibilities:,,"to pursue personal debts,refusal of admission to and expulsion from professional bodies,sanctions applied by regulators or similar bodies and previous questionable business practices are considered. b.The Commitee also formulates criteria for evaluation of performance of individual directors including independent"
of Reference /Roles and Responsibilities:,"directors, the Board of Directors and its Committees.",Thecriteria for evaluation of performance of directors (including independent directors)include personal attributes
of Reference /Roles and Responsibilities:,,"suchas attendance at meetings,communication skills,leadershipskilsandadaptabilityand professional attibutes suchasunderstanding of the Bank's core business and strategic objectives，industry knowledge,independent judgment,adherence to the Bank's Code of Conduct, Ethics and Values etc."
of Reference /Roles and Responsibilities:,,"c.To caryout any other function as is mandated by the Board from time to time and/or enforced byany statutory notification,amendment ormodification,as may be applicable."
Composition:,Chakraborty.,"Mr. Sanjiv Sachar (Chairman)， Mr.Sandeep Parekh,Mr. M.D.Ranganath, Mr. Umesh Chandra Sarangi and Mr. Atanu Duringthe year, Mrs.Shyamala Gopinath ceased to beamemberof the Commitee pursuant to the cessation of her tenureas directorof the Bank while Mr.Sarangi (with effect from November 25,2020)and Mr.Chakraborty(with effect"
Meetings:,"from June 9,2021) were inducted as members on the Committee. All the members of the Committee are independent directors. 28,2020,January11,2021,January25,2021,February15,2021,February24,2021,March17,2021,March19,2021, March 22,2021,March 24,2021,March 25,2021,March 26,2021,and March 30,2021.","The Commitee met twenty-eight (28)times during the yearon April17,2020,May8,2020,May29,2020,June 15, 2020,June17,2020,July7,2020,July17,2020,July27,2020,September10,2020,October16,202,October21, 2020,October31,2020,November10,2020,November24,2020,December8,2020,December17,2020,Dcember"
