Particulars,Particulars,Particulars,Particulars,Particulars,Particulars
"March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021","March 31, 2021"
Deferred tax asset arising out of:,Deferred tax asset arising out of:,Deferred tax asset arising out of:,Deferred tax asset arising out of:,Deferred tax asset arising out of:,Deferred tax asset arising out of:
Loan loss and contingencies,Loan loss and contingencies,Loan loss and contingencies,Loan loss and contingencies,Loan loss and contingencies,Loan loss and contingencies
79.15,79.15,79.15,79.15,79.15,79.15
Depreciation,Depreciation,Depreciation,Depreciation,Depreciation,Depreciation
Others,Others,Others,Others,Others,Others
Total (a),Total (a),Total (a),Total (a),Total (a),Total (a)
"5,541.64","5,541.64","5,541.64","5,541.64","5,541.64","5,541.64"
Deferred tax liability,Deferred tax liability,Deferred tax liability,Deferred tax liability,Deferred tax liability,Deferred tax liability
-,-,-,-,-,-
Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b)
"5,541.64","5,541.64","5,541.64","5,541.64","5,541.64","5,541.64"
"March 31, 2020","March 31, 2020","March 31, 2020","March 31, 2020","March 31, 2020","March 31, 2020"
Deferred tax asset arising out of:,Deferred tax asset arising out of:,Deferred tax asset arising out of:,Deferred tax asset arising out of:,Deferred tax asset arising out of:,Deferred tax asset arising out of:
Loan loss and contingencies,Loan loss and contingencies,Loan loss and contingencies,Loan loss and contingencies,Loan loss and contingencies,Loan loss and contingencies
154.80,154.80,154.80,154.80,154.80,154.80
Depreciation,Depreciation,Depreciation,Depreciation,Depreciation,Depreciation
Others,Others,Others,Others,Others,Others
Total (a),Total (a),Total (a),Total (a),Total (a),Total (a)
"4,144.23","4,144.23","4,144.23","4,144.23","4,144.23","4,144.23"
Deferred tax liability,Deferred tax liability,Deferred tax liability,Deferred tax liability,Deferred tax liability,Deferred tax liability
-,-,-,-,-,-
Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b),Deferred tax asset (net) (a-b)
"4,144.23","4,144.23","4,144.23","4,144.23","4,144.23","4,144.23"
