Sr. No. Name of the subsidiary,HDFC Securities Limited,HDB Financial Services Limited
1. The date since when subsidiary wasacquired,"September 28,2005","August 31, 2007"
"2. Reporting period for the subsidiaryconcerned,if different from the holdingcompany's reporting period","Reporting period of the subsidiary is the same as that of the holding company i.e.April1,2020 to March31,2021","Reporting period of the subsidiary is the same as that of the holding company i.e.April1,2020toMarch31,2021"
3. Reporting currency and exchange rate ason the last date of the relevant financialyear in the case of foreign subsidiaries.,Not applicable as this is a domesticsubsidiary,Not applicable as this is a domesticsubsidiary
4 Share capital,15.77,789.19
5 Reserves &surplus,"1,461.63","7,932.77"
6 Total assets,"4,710.13","62,639.97"
7 Total liabilities,"3,232.73","53,918.01"
8. Investments,224.18,"1,709.32"
9 Turnover,"1,391.46","10,696.36"
10. Profitbefore taxation,959.74,652.06
11. Provision for taxation,239.22,149.22
12. Profit after taxation,720.52,502.83
13. Proposed dividend *,500.98,1
14. Extent of shareholding (in percentage),96.34%,95.11%
